year_of_birth,sex,age,year,population,PYadj,LEadj,bau_PYadj,bau_LEadj,diff_LEadj,diff_PYadj
1949,male,107,2056,53.91754313869739,26.85917489975705,0.8945902864490395,11.888610044573943,0.8468264850235034,0.047763801425536045,14.970564855183108
1949,male,108,2057,28.209008659130692,14.04116808063678,0.7577343720088531,5.974026780677614,0.7249870374203382,0.032747334588514865,8.067141299959165
1949,male,109,2058,14.744151767521394,7.333767380681912,0.49740178318272793,3.001948574513307,0.48252048449403306,0.014881298688694866,4.331818806168604
1950,female,60,2010,110670.0,92710.59126949466,19.976614835614818,92710.59126949466,19.568359812290566,0.40825502332425145,0.0
1950,female,61,2011,110223.49634524135,92328.10684491848,19.216423383574167,92317.07390026395,18.806617795389066,0.40980558818510104,11.03294465453655
1950,female,62,2012,109735.5436712406,91920.27538470784,18.460502385736955,91885.07846673341,18.049388006296923,0.4111143794400327,35.196917974433745
1950,female,63,2013,109201.67188052252,91472.21818070675,17.709005338986003,91409.17477292845,17.296960258069067,0.41204508091693626,63.0434077782993
1950,female,64,2014,108614.25177394395,90978.15822974703,16.962606122925415,90883.19304506604,16.550028529408525,0.4125775935168896,94.96518468098657
1950,female,65,2015,107966.92035664909,86365.08255386852,16.22165945052871,86229.72558329537,15.808956952288678,0.41270249824003,135.35697057314974
1950,female,66,2016,107253.49081273687,85792.92771652687,15.524320176218614,85615.88000781497,15.111947051596351,0.4123731246222633,177.04770871190703
1950,female,67,2017,106466.91335260899,85161.7145877969,14.83319609771351,84938.36213387297,14.421549590943943,0.41164650676956605,223.35245392392972
1950,female,68,2018,105601.71866612285,84467.28058926313,14.148281940500542,84192.76102284981,13.73775835472508,0.41052358577546144,274.5195664133207
1950,female,69,2019,104653.12491888068,83706.39771761026,13.469407718050379,83375.43392229333,13.060440526626506,0.40896719142387283,330.96379531692946
1950,female,70,2020,103617.95779951681,80227.79282119282,12.79613340139613,79838.7049605711,12.389205394482067,0.40692800691406283,389.08786062171566
1950,female,71,2021,102489.4488244486,79349.14165746498,12.154240580367961,78893.28359399653,11.749877385295383,0.40436319507257856,455.85806346844765
1950,female,72,2022,101258.5442726052,78387.056741779,11.518359114113167,77858.54065156709,11.117121130060418,0.4012379840527487,528.5160902119096
1950,female,73,2023,99913.12212168906,77331.46648466287,10.888912251559443,76724.17303981571,10.491376707534286,0.3975355440251569,607.2934448471642
1950,female,74,2024,98440.73719179921,76171.62545503578,10.266214799963352,75478.70237320186,9.873002931078155,0.39321186888519755,692.9230818339274
1950,female,75,2025,96826.16139126735,71032.81851518874,9.650719538975677,70263.62732261146,9.262434761715197,0.3882847772604805,769.1911925772874
1950,female,76,2026,95052.32100523471,69698.53478684275,9.083516320027343,68832.8208346726,8.70075002427128,0.38276629575606336,865.7139521701465
1950,female,77,2027,93098.03661751436,68222.56686875827,8.525537198830307,67253.8043897563,8.148834248367885,0.3767029504624215,968.7624790019618
1950,female,78,2028,90941.82540351205,66588.43574838269,7.977497749060015,65510.5680098518,7.607329515988173,0.3701682330718423,1077.867738530891
1950,female,79,2029,88561.88600772007,64779.08479430755,7.4399925453948255,63586.90495083699,7.076732437448621,0.36326010794620434,1192.179843470556
1950,female,80,2030,85937.13303615911,59694.43067937623,6.9134338779867415,58415.86982862596,6.557458465150318,0.35597541283642364,1278.5608507502693
1950,female,81,2031,83041.58115619411,57589.6232291041,6.435646441084133,56191.46746626731,6.087289619842559,0.3483568212415742,1398.1557628367882
1950,female,82,2032,79845.67367434411,55259.54407830629,5.971978330918286,53739.69871733552,5.6314706613461505,0.3405076695721352,1519.845360970765
1950,female,83,2033,76320.51239383334,52684.33634538784,5.523771731864219,51043.56675202555,5.1911497256717825,0.33262200619243654,1640.769593362289
1950,female,84,2034,72441.61404575071,49849.52046929134,5.092276827847682,48092.440819602205,4.767309891817604,0.3249669360300782,1757.0796496891344
1950,female,85,2035,68195.35020584628,42409.687295044554,4.678372222515827,40708.574569125645,4.360488163723902,0.3178840587919245,1701.1127259189088
1950,female,86,2036,63604.55077003346,39389.34666841585,4.349272834469232,37594.53857776778,4.03760992401416,0.31166291045507233,1794.8080906480682
1950,female,87,2037,58713.35963834054,36196.89798701947,4.040719175425732,34313.421673324236,3.7356266432978376,0.30509253212789433,1883.4763136952315
1950,female,88,2038,53608.24284032807,32885.10666552807,3.750305727350715,30920.727686841266,3.4525577580060998,0.29774796934461545,1964.3789786868
1950,female,89,2039,48368.17850402201,29508.052655257557,3.4767113150183833,27475.3477595276,3.187339987509965,0.2893713275084182,2032.7048957299558
1950,female,90,2040,43081.99892380652,26121.61852628334,3.2183776124623216,24039.82067926235,2.9385922629482213,0.2797853495141003,2081.797847020989
1950,female,91,2041,37832.809917711515,22778.50713322268,2.9744690535803695,20675.08852946793,2.7054796080260326,0.2689894455543369,2103.4186037547515
1950,female,92,2042,32712.07661720891,19540.94562459959,2.743757794018544,17440.576987034576,2.487712727102666,0.2560450669158776,2100.368637565014
1950,female,93,2043,27794.554653457348,16453.939949232972,2.5261447944684146,14393.819616582561,2.2853815923745957,0.24076320209381885,2060.120332650411
1950,female,94,2044,23150.38954689373,13563.404211856116,2.3221695468350965,11589.18802807723,2.098945558788677,0.2232239880464193,1974.2161837788863
1950,female,95,2045,18847.698517960453,10916.895768081038,2.132659611092915,9078.349847878926,1.9290003053913742,0.20365930570154056,1838.545920202112
1950,female,96,2046,14962.296011868546,8557.772767317849,1.956840688087186,6902.285966074268,1.7745876858759444,0.18225300221124163,1655.4868012435809
1950,female,97,2047,11550.039752532637,6515.102883931744,1.7940247219813719,5081.041195656409,1.6347336486765767,0.1592910733047952,1434.0616882753347
1950,female,98,2048,8637.551267350394,4797.517659969868,1.644673766010207,3612.6646645169453,1.5084766292849816,0.1361971367252255,1184.8529954529226
1950,female,99,2049,6238.3825999282735,3407.8248231744515,1.5081531408666273,2475.016974405002,1.3948974771351752,0.11325566373145213,932.8078487694493
1950,female,100,2050,4334.712634425794,2325.787614100101,1.384315869333279,1630.0587484914747,1.2931286485433227,0.09118722078995645,695.7288656086264
1950,female,101,2051,2879.788663192556,1514.7822353637848,1.276074151448687,1029.8336456744341,1.202435818944457,0.07363833250423002,484.9485896893507
1950,female,102,2052,1826.5909014981144,942.1763413559537,1.182553596210079,622.9300931442123,1.122221271315957,0.0603323248941221,319.24624821174143
1950,female,103,2053,1104.7588806677436,559.0445783696865,1.1023810890564134,360.1882955011103,1.0521702157432336,0.05021087331317986,198.85628286857622
1950,female,104,2054,636.5731948190963,316.20260231601105,1.034948887272564,198.85131065776937,0.9924852866226546,0.042463600649909505,117.35129165824168
1950,female,105,2055,349.2753685446261,170.43538057965446,0.9809398205123598,104.75102739590386,0.9445060838683096,0.03643373664405025,65.6843531837506
1950,female,106,2056,182.50907832466652,88.9744141568264,0.9434201209629828,53.48482489422129,0.9119594852339908,0.03146063572899194,35.48958926260511
1950,female,107,2057,95.27106372033757,46.41040554556472,0.8733850483429677,27.308815627686847,0.8482163646024908,0.02516868374047687,19.101589917877874
1950,female,108,2058,49.692539035454836,24.192895764586023,0.7405119110789152,13.943607602005438,0.7233742736210527,0.017137637457862565,10.249288162580585
1950,female,109,2059,25.902971759585306,12.605021282922232,0.4866245232367127,7.119466314811112,0.47886870931525105,0.0077558139214616295,5.48555496811112
1950,male,60,2010,107210.0,89959.3465818025,18.30731087547886,89959.3465818025,17.809410061893114,0.4979008135857441,0.0
1950,male,61,2011,106531.52995690505,89381.00672138484,17.579466409014046,89358.51416230823,17.078764684505842,0.5007017245082039,22.492559076606994
1950,male,62,2012,105793.59788830114,88772.09585087042,16.857224645482177,88699.60960414364,16.354593695647132,0.5026309498350443,72.48624672678125
1950,male,63,2013,104990.60777727893,88107.69661201752,16.1406280588535,87977.731925601,15.637115131705285,0.5035129271482166,129.9646864165261
1950,male,64,2014,104117.2405882732,87382.95616958367,15.42978515486085,87187.85890686959,14.92641411190401,0.5033710429568394,195.09726271408726
1950,male,65,2015,103167.47796012725,83449.7161143463,14.724831187707712,83189.05685177872,14.222587575880127,0.5022436118275859,260.65926256758394
1950,male,66,2016,102134.63856401925,82620.11813372535,14.056680486612631,82281.27606319063,13.556460659858995,0.5002198267536357,338.84207053472346
1950,male,67,2017,101013.58406337141,81716.36756833529,13.394771359934248,81292.12150010433,12.897453684447774,0.49731767548647454,424.2460682309611
1950,male,68,2018,99795.82313810028,80730.51492003356,12.739385830293818,80213.71601445801,12.245794625338217,0.49359120495560127,516.7989055755461
1950,male,69,2019,98470.84125647022,79653.31038001686,12.090959771400938,79037.0011546808,11.601864830516613,0.4890949408843248,616.3092253360664
1950,male,70,2020,97027.24035532128,75148.05354511958,11.44991515619298,74439.00568933392,10.966021564370442,0.48389359182253777,709.047855785655
1950,male,71,2021,95451.09619869459,73911.62943217614,10.851689059774449,73093.3976146196,10.373633053000626,0.4780560067738229,818.2318175565451
1950,male,72,2022,93728.32635578632,72553.77744699195,10.262575086205985,71621.33958215622,9.79091487092251,0.47166021528347457,932.4378648357379
1950,male,73,2023,91843.22636429836,71062.34565655714,9.683242245389934,70011.53022584492,9.218425185111986,0.464817060277948,1050.8154307122168
1950,male,74,2024,89782.7367281263,69426.4562121024,9.11397773833714,68252.97272546195,8.65642431054558,0.4575534277915594,1173.4834866404562
