sex,age,rate,pop_avg_5yr,pYLD_rate
female,16,0.0002000,,0.076339753
female,17,0.0002300,121440,0.076339753
female,18,0.0002600,,0.076339753
female,19,0.0002800,,0.076339753
female,20,0.0003000,,0.0932502
female,21,0.0003201,,0.0932502
female,22,0.0003201,127360,0.0932502
female,23,0.0003201,,0.0932502
female,24,0.0003201,,0.0932502
female,25,0.0003201,,0.106210884
female,26,0.0003201,,0.106210884
female,27,0.0003301,124150,0.106210884
female,28,0.0003301,,0.106210884
female,29,0.0003501,,0.106210884
female,30,0.0003701,,0.111508975
female,31,0.0003901,,0.111508975
female,32,0.0004201,119400,0.111508975
female,33,0.0004601,,0.111508975
female,34,0.0004901,,0.111508975
female,35,0.0005401,,0.125178851
female,36,0.0005902,,0.125178851
female,37,0.0006402,129980,0.125178851
female,38,0.0006902,,0.125178851
female,39,0.0007503,,0.125178851
female,40,0.0008203,,0.129019961
female,41,0.0008904,,0.129019961
female,42,0.0009705,141760,0.129019961
female,43,0.0010706,,0.129019961
female,44,0.0011707,,0.129019961
female,45,0.0012808,,0.145168944
female,46,0.0013910,,0.145168944
female,47,0.0015011,144230,0.145168944
female,48,0.0016113,,0.145168944
female,49,0.0017115,,0.145168944
female,50,0.0018116,,0.127554502
female,51,0.0019218,,0.127554502
female,52,0.0020421,135320,0.127554502
female,53,0.0021824,,0.127554502
female,54,0.0023628,,0.127554502
female,55,0.0025633,,0.145040689
female,56,0.0028039,,0.145040689
female,57,0.0030647,118100,0.145040689
female,58,0.0033556,,0.145040689
female,59,0.0036868,,0.145040689
female,60,0.0040482,,0.160583297
female,61,0.0044599,,0.160583297
female,62,0.0049221,110670,0.160583297
female,63,0.0054649,,0.160583297
female,64,0.0060784,,0.160583297
female,65,0.0067628,,0.198434553
female,66,0.0075283,,0.198434553
female,67,0.0083649,85640,0.198434553
female,68,0.0092729,,0.198434553
female,69,0.0102423,,0.198434553
female,70,0.0113138,,0.22412107
female,71,0.0125180,,0.22412107
female,72,0.0138961,70530,0.22412107
female,73,0.0154690,,0.22412107
female,74,0.0172784,,0.22412107
female,75,0.0193663,,0.264380486
female,76,0.0218060,,0.264380486
female,77,0.0246411,53600,0.264380486
female,78,0.0279263,,0.264380486
female,79,0.0317384,,0.264380486
female,80,0.0362180,,0.300872439
female,81,0.0415306,,0.300872439
female,82,0.0478361,44840,0.300872439
female,83,0.0553013,,0.300872439
female,84,0.0640693,,0.300872439
female,85,0.0741310,,0.365984528
female,86,0.0854816,,0.365984528
female,87,0.0977231,30000,0.365984528
female,88,0.1111998,,0.365984528
female,89,0.1259488,,0.365984528
female,90,0.1423012,,0.365984528
female,91,0.1606501,,0.365984528
female,92,0.1813780,12420,0.365984528
female,93,0.2048862,,0.365984528
female,94,0.2314530,,0.365984528
female,95,0.2604561,,0.365984528
female,96,0.2919445,,0.365984528
female,97,0.3259379,2898,0.365984528
female,98,0.3624200,,0.365984528
female,99,0.4013137,,0.365984528
female,100,0.4425130,,0.365984528
female,101,0.4857916,,0.365984528
female,102,0.5308583,1035,0.365984528
female,103,0.5773038,,0.365984528
female,104,0.6246478,,0.365984528
female,105,0.6721884,,0.365984528
female,106,0.6721884,,0.365984528
female,107,0.6721884,207,0.365984528
female,108,0.6721884,,0.365984528
female,109,0.6721884,,0.365984528
female,110,0.6721884,,0.365984528
